boundary,a_fm,sigma,segment,n_samples,method,wavelength_mc,amplitude_q,amplitude_std_q,edge_sensitive,status
OBC,0.0191,8,0,400,peak_spacing,266,4.86191,0.00770646,no,too_few_cycles
OBC,0.0191,8,0,400,fft,352,,,no,too_few_cycles
OBC,0.0191,8,1,400,peak_spacing,202,3.43082,0.293539,no,too_few_cycles
OBC,0.0191,8,1,400,fft,176,,,no,ok
OBC,0.0191,10,0,400,peak_spacing,270,4.59068,0.0452111,no,too_few_cycles
OBC,0.0191,10,0,400,fft,340,,,no,too_few_cycles
OBC,0.0191,10,1,400,peak_spacing,201,3.14135,0.399387,no,too_few_cycles
OBC,0.0191,10,1,400,fft,170,,,no,ok
OBC,0.0191,12,0,400,peak_spacing,270,4.35428,0.0608521,no,too_few_cycles
OBC,0.0191,12,0,400,fft,328,,,no,too_few_cycles
OBC,0.0191,12,1,400,peak_spacing,199,2.86283,0.478883,no,too_few_cycles
OBC,0.0191,12,1,400,fft,328,,,no,too_few_cycles
OBC,0.0191,15,0,400,peak_spacing,269,3.99977,0.0311102,no,too_few_cycles
OBC,0.0191,15,0,400,fft,310,,,no,too_few_cycles
OBC,0.0191,15,1,400,peak_spacing,195.5,2.46427,0.536623,no,too_few_cycles
OBC,0.0191,15,1,400,fft,310,,,no,too_few_cycles
OBC,0.0191,20,0,400,peak_spacing,272,3.46671,0.0131473,yes,too_few_cycles
OBC,0.0191,20,0,400,fft,280,,,no,too_few_cycles
OBC,0.0191,20,1,400,peak_spacing,191,1.90293,0.548681,no,too_few_cycles
OBC,0.0191,20,1,400,fft,280,,,no,too_few_cycles
OBC,0.0191,25,0,400,peak_spacing,314,3.06529,0,yes,too_few_cycles
OBC,0.0191,25,0,400,fft,250,,,no,too_few_cycles
OBC,0.0191,25,1,400,peak_spacing,190.5,1.44386,0.525737,yes,too_few_cycles
OBC,0.0191,25,1,400,fft,250,,,no,too_few_cycles
OBC,0.0191,30,0,400,peak_spacing,,,,,no_estimate
OBC,0.0191,30,0,400,fft,220,,,no,too_few_cycles
OBC,0.0191,30,1,400,peak_spacing,193,1.07077,0.486711,yes,too_few_cycles
OBC,0.0191,30,1,400,fft,220,,,no,too_few_cycles
OBC,0.0191,35,0,400,peak_spacing,,,,,no_estimate
OBC,0.0191,35,0,400,fft,190,,,no,too_few_cycles
OBC,0.0191,35,1,400,peak_spacing,197.5,0.776793,0.440668,yes,too_few_cycles
OBC,0.0191,35,1,400,fft,190,,,no,too_few_cycles
OBC,0.0191,40,0,400,peak_spacing,,,,,no_estimate
OBC,0.0191,40,0,400,fft,160,,,no,too_few_cycles
OBC,0.0191,40,1,400,peak_spacing,238,0.863787,0,yes,too_few_cycles
OBC,0.0191,40,1,400,fft,160,,,no,too_few_cycles
PBC,0.0191,2,0,400,peak_spacing,80,2.83471,1.2898,no,ok
PBC,0.0191,2,0,400,fft,194,,,no,ok
PBC,0.0191,2,1,400,peak_spacing,86,1.69747,0.851184,no,ok
PBC,0.0191,2,1,400,fft,97,,,no,ok
PBC,0.0191,4,0,400,peak_spacing,121,2.93858,1.24176,no,ok
PBC,0.0191,4,0,400,fft,188,,,no,ok
PBC,0.0191,4,1,400,peak_spacing,98,1.81161,0.20664,no,ok
PBC,0.0191,4,1,400,fft,94,,,no,ok
PBC,0.0191,6,0,400,peak_spacing,116,2.47491,1.09988,no,ok
PBC,0.0191,6,0,400,fft,182,,,no,ok
PBC,0.0191,6,1,400,peak_spacing,98,1.44204,0.246573,no,ok
PBC,0.0191,6,1,400,fft,91,,,no,ok
PBC,0.0191,8,0,400,peak_spacing,113,2.12865,1.01991,no,ok
PBC,0.0191,8,0,400,fft,176,,,no,ok
PBC,0.0191,8,1,400,peak_spacing,98,1.18666,0.294464,no,ok
PBC,0.0191,8,1,400,fft,117.333,,,no,ok
PBC,0.0191,10,0,400,peak_spacing,112,1.84226,0.981903,no,ok
PBC,0.0191,10,0,400,fft,170,,,no,ok
PBC,0.0191,10,1,400,peak_spacing,98,0.990632,0.328676,no,ok
PBC,0.0191,10,1,400,fft,113.333,,,no,ok
PBC,0.0191,12,0,400,peak_spacing,112,1.59715,0.961885,no,ok
PBC,0.0191,12,0,400,fft,164,,,no,ok
PBC,0.0191,12,1,400,peak_spacing,98,0.821872,0.346449,no,ok
PBC,0.0191,12,1,400,fft,109.333,,,no,ok
PBC,0.0191,15,0,400,peak_spacing,165,2.07964,0.168496,no,too_few_cycles
PBC,0.0191,15,0,400,fft,155,,,no,ok
PBC,0.0191,15,1,400,peak_spacing,216,0.974727,0.395491,no,too_few_cycles
PBC,0.0191,15,1,400,fft,103.333,,,no,ok
PBC,0.0191,20,0,400,peak_spacing,168,1.60454,0.202168,no,too_few_cycles
PBC,0.0191,20,0,400,fft,140,,,no,ok
PBC,0.0191,20,1,400,peak_spacing,209,0.689118,0.292254,no,too_few_cycles
PBC,0.0191,20,1,400,fft,140,,,no,ok
PBC,0.0191,25,0,400,peak_spacing,180,1.21838,0.176756,no,too_few_cycles
PBC,0.0191,25,0,400,fft,250,,,no,too_few_cycles
PBC,0.0191,25,1,400,peak_spacing,197,0.490085,0.250264,no,too_few_cycles
PBC,0.0191,25,1,400,fft,125,,,no,ok
PBC,0.0191,30,0,400,peak_spacing,199,0.925475,0.12248,yes,too_few_cycles
PBC,0.0191,30,0,400,fft,220,,,no,too_few_cycles
PBC,0.0191,30,1,400,peak_spacing,184,0.352371,0.232411,yes,too_few_cycles
PBC,0.0191,30,1,400,fft,220,,,no,too_few_cycles
PBC,0.0191,35,0,400,peak_spacing,221,0.707487,0.0779113,yes,too_few_cycles
PBC,0.0191,35,0,400,fft,190,,,no,too_few_cycles
PBC,0.0191,35,1,400,peak_spacing,,,,,no_estimate
PBC,0.0191,35,1,400,fft,190,,,no,too_few_cycles
PBC,0.0191,40,0,400,peak_spacing,230,0.584027,0,yes,too_few_cycles
PBC,0.0191,40,0,400,fft,160,,,no,too_few_cycles
PBC,0.0191,40,1,400,peak_spacing,,,,,no_estimate
PBC,0.0191,40,1,400,fft,160,,,no,too_few_cycles
OBC,0.0107,2,0,50,peak_spacing,16,1.38219,0.844104,no,ok
OBC,0.0107,2,0,50,fft,19,,,no,ok
OBC,0.0107,2,1,50,peak_spacing,27,0.772222,0.277762,no,too_few_cycles
OBC,0.0107,2,1,50,fft,12.6667,,,no,ok
OBC,0.0107,4,0,50,peak_spacing,,,,,no_estimate
OBC,0.0107,4,0,50,fft,26,,,no,too_few_cycles
OBC,0.0107,4,1,50,peak_spacing,,,,,no_estimate
OBC,0.0107,4,1,50,fft,13,,,no,ok
OBC,0.0107,6,0,50,peak_spacing,,,,,no_estimate
OBC,0.0107,6,0,50,fft,14,,,no,lambda_too_close_to_sigma
OBC,0.0107,6,1,50,peak_spacing,,,,,no_estimate
OBC,0.0107,6,1,50,fft,14,,,no,lambda_too_close_to_sigma
OBC,0.0107,8,0,50,peak_spacing,,,,,edge_too_short
OBC,0.0107,8,0,50,fft,,,,,edge_too_short
OBC,0.0107,8,1,50,peak_spacing,,,,,edge_too_short
OBC,0.0107,8,1,50,fft,,,,,edge_too_short
OBC,0.0107,10,0,50,peak_spacing,,,,,edge_too_short
OBC,0.0107,10,0,50,fft,,,,,edge_too_short
OBC,0.0107,10,1,50,peak_spacing,,,,,edge_too_short
OBC,0.0107,10,1,50,fft,,,,,edge_too_short
OBC,0.0107,12,0,50,peak_spacing,,,,,edge_too_short
OBC,0.0107,12,0,50,fft,,,,,edge_too_short
OBC,0.0107,12,1,50,peak_spacing,,,,,edge_too_short
OBC,0.0107,12,1,50,fft,,,,,edge_too_short
OBC,0.0107,16,0,50,peak_spacing,,,,,edge_too_short
OBC,0.0107,16,0,50,fft,,,,,edge_too_short
OBC,0.0107,16,1,50,peak_spacing,,,,,edge_too_short
OBC,0.0107,16,1,50,fft,,,,,edge_too_short
OBC,0.0107,20,0,50,peak_spacing,,,,,edge_too_short
OBC,0.0107,20,0,50,fft,,,,,edge_too_short
OBC,0.0107,20,1,50,peak_spacing,,,,,edge_too_short
OBC,0.0107,20,1,50,fft,,,,,edge_too_short
PBC,0.0107,2,0,50,peak_spacing,,,,,no_estimate
PBC,0.0107,2,0,50,fft,,,,,no_estimate
PBC,0.0107,4,0,50,peak_spacing,,,,,no_estimate
PBC,0.0107,4,0,50,fft,,,,,no_estimate
PBC,0.0107,6,0,50,peak_spacing,,,,,no_estimate
PBC,0.0107,6,0,50,fft,,,,,no_estimate
PBC,0.0107,8,0,50,peak_spacing,,,,,edge_too_short
PBC,0.0107,8,0,50,fft,,,,,edge_too_short
PBC,0.0107,10,0,50,peak_spacing,,,,,edge_too_short
PBC,0.0107,10,0,50,fft,,,,,edge_too_short
PBC,0.0107,12,0,50,peak_spacing,,,,,edge_too_short
PBC,0.0107,12,0,50,fft,,,,,edge_too_short
PBC,0.0107,16,0,50,peak_spacing,,,,,edge_too_short
PBC,0.0107,16,0,50,fft,,,,,edge_too_short
PBC,0.0107,20,0,50,peak_spacing,,,,,edge_too_short
PBC,0.0107,20,0,50,fft,,,,,edge_too_short
