boundary,a_fm,sigma,method,n_segments,median_wavelength_mc,segment_range_mc
PBC,0.0191,8,fft,2,146.667,58.6667
PBC,0.0191,10,peak_spacing,2,105,14
PBC,0.0191,10,fft,2,141.667,56.6667
PBC,0.0191,12,peak_spacing,2,105,14
PBC,0.0191,12,fft,2,136.667,54.6667
PBC,0.0191,15,fft,2,129.167,51.6667
PBC,0.0191,20,fft,2,140,0
PBC,0.0191,25,fft,1,125,0
OBC,0.0107,2,peak_spacing,1,16,0
OBC,0.0107,2,fft,2,15.8333,6.33333
OBC,0.0107,4,fft,1,13,0
